N10_14_1 SAM5_GTB0_TAC04_CH06
N10_14_2 SAM5_GTB0_TAC04_CH14
N10_15_1 SAM5_GTB0_TAC04_CH07
N10_15_2 SAM5_GTB0_TAC04_CH15
N10_16_1 SAM5_GTB0_TAC04_CH08
N10_16_2 SAM5_GTB0_TAC04_CH16
N10_17_1 SAM5_GTB0_TAC05_CH05
N10_17_2 SAM5_GTB0_TAC05_CH13
N10_18_1 SAM5_GTB0_TAC05_CH06
N10_18_2 SAM5_GTB0_TAC05_CH14
N10_19_1 SAM5_GTB0_TAC05_CH07
N10_19_2 SAM5_GTB0_TAC05_CH15
N10_20_1 SAM5_GTB0_TAC05_CH08
N10_20_2 SAM5_GTB0_TAC05_CH16
V1_01_1 SAM5_GTB0_TAC06_CH08
V1_01_2 SAM5_GTB0_TAC08_CH07
V1_02_1 SAM5_GTB0_TAC06_CH06
V1_02_2 SAM5_GTB0_TAC08_CH05
V1_03_1 SAM5_GTB0_TAC06_CH04
V1_03_2 SAM5_GTB0_TAC07_CH08
V1_04_1 SAM5_GTB0_TAC06_CH02
V1_04_2 SAM5_GTB0_TAC07_CH06
V1_05_1 SAM5_GTB0_TAC06_CH16
V1_05_2 SAM5_GTB0_TAC08_CH03
V1_06_1 SAM5_GTB0_TAC06_CH14
V1_06_2 SAM5_GTB0_TAC08_CH01
V1_07_1 SAM5_GTB0_TAC06_CH12
V1_07_2 SAM5_GTB0_TAC07_CH04
V1_08_1 SAM5_GTB0_TAC06_CH10
V1_08_2 SAM5_GTB0_TAC07_CH02
V1_09_1 SAM5_GTB0_TAC06_CH07
V1_09_2 SAM5_GTB0_TAC07_CH16
V1_10_1 SAM5_GTB0_TAC06_CH05
V1_10_2 SAM5_GTB0_TAC07_CH14
V1_11_1 SAM5_GTB0_TAC06_CH03
V1_11_2 SAM5_GTB0_TAC07_CH12
V1_12_1 SAM5_GTB0_TAC06_CH01
V1_12_2 SAM5_GTB0_TAC07_CH10
V1_13_1 SAM5_GTB0_TAC06_CH15
V1_13_2 SAM5_GTB0_TAC07_CH07
V1_14_1 SAM5_GTB0_TAC06_CH13
V1_14_2 SAM5_GTB0_TAC07_CH05
V1_15_1 SAM5_GTB0_TAC08_CH08
V1_15_2 SAM5_GTB0_TAC07_CH03
V1_16_1 SAM5_GTB0_TAC08_CH06
V1_16_2 SAM5_GTB0_TAC07_CH01
V1_17_1 SAM5_GTB0_TAC06_CH11
V1_17_2 SAM5_GTB0_TAC07_CH15
V1_18_1 SAM5_GTB0_TAC06_CH09
V1_18_2 SAM5_GTB0_TAC07_CH13
V1_19_1 SAM5_GTB0_TAC08_CH04
V1_19_2 SAM5_GTB0_TAC07_CH11
V1_20_1 SAM5_GTB0_TAC08_CH02
V1_20_2 SAM5_GTB0_TAC07_CH09
