1     1H ( 12C , 12C )  1H 
******************************

 PROJECTILE      TARGET      PART. C      PART. D
      12           1          12           1        AMU
  11177.9319    938.7833  11178.9319    938.7833    MEV


 BEAM ENERGY   4800.00 MEV        EXCITATION ENERGY     1.00
 GROUND STATE Q-VALUE      0.000 MEV.

1  PARTICLE C                                                         PARTICLE D
******************************************************************    ********************

    LAB     C.M.    KINET       P3        SOLID     1/2E     BRHO3      LAB    KINET  p4          SOLID  BRHO4   TOF
  ANGLE     ANG     ENERG                 ANGLE     DE/DT    KG.M       ANG    ENERGY               ANG  KG*M

   1.13    15.17   4771.668  11377.746   181.226    -0.294     63.26    79.527    27.332   228.177    0.41      7.61 0.1382E+01
   1.14    15.31   4771.177  11377.058   181.298    -0.296     63.25    79.438    27.823   230.249    0.41      7.68 0.1370E+01
   1.15    15.45   4770.681  11376.362   181.372    -0.299     63.25    79.349    28.319   232.322    0.42      7.75 0.1358E+01
   1.16    15.58   4770.180  11375.661   181.446    -0.302     63.24    79.260    28.820   234.396    0.42      7.82 0.1346E+01
   1.17    15.72   4769.675  11374.953   181.520    -0.305     63.24    79.171    29.325   236.472    0.42      7.89 0.1334E+01
   1.18    15.86   4769.166  11374.239   181.596    -0.307     63.24    79.082    29.834   238.549    0.43      7.96 0.1323E+01
   1.19    15.99   4768.652  11373.518   181.672    -0.310     63.23    78.992    30.348   240.628    0.43      8.03 0.1311E+01
   1.20    16.13   4768.133  11372.791   181.749    -0.313     63.23    78.903    30.867   242.708    0.43      8.10 0.1300E+01
   1.21    16.27   4767.610  11372.057   181.827    -0.316     63.22    78.814    31.390   244.789    0.44      8.17 0.1290E+01
   1.22    16.40   4767.082  11371.317   181.905    -0.319     63.22    78.724    31.918   246.872    0.44      8.24 0.1279E+01
   1.23    16.54   4766.550  11370.571   181.985    -0.321     63.22    78.635    32.450   248.957    0.45      8.30 0.1268E+01
   1.24    16.68   4766.013  11369.818   182.065    -0.324     63.21    78.546    32.987   251.043    0.45      8.37 0.1258E+01
   1.25    16.82   4765.472  11369.059   182.146    -0.327     63.21    78.456    33.528   253.131    0.45      8.44 0.1248E+01
   1.26    16.95   4764.926  11368.293   182.228    -0.330     63.20    78.366    34.074   255.221    0.46      8.51 0.1238E+01
   1.27    17.09   4764.375  11367.521   182.310    -0.332     63.20    78.277    34.625   257.311    0.46      8.58 0.1228E+01
   1.28    17.23   4763.820  11366.742   182.394    -0.335     63.20    78.187    35.180   259.404    0.46      8.65 0.1218E+01
   1.29    17.37   4763.260  11365.957   182.478    -0.338     63.19    78.097    35.740   261.498    0.47      8.72 0.1209E+01
   1.30    17.50   4762.696  11365.165   182.563    -0.341     63.19    78.008    36.304   263.594    0.47      8.79 0.1199E+01
   1.31    17.64   4762.127  11364.367   182.648    -0.344     63.18    77.918    36.873   265.691    0.48      8.86 0.1190E+01
   1.32    17.78   4761.553  11363.562   182.735    -0.347     63.18    77.828    37.447   267.791    0.48      8.93 0.1181E+01
   1.33    17.92   4760.974  11362.750   182.822    -0.349     63.17    77.738    38.026   269.891    0.48      9.00 0.1172E+01
   1.34    18.06   4760.391  11361.933   182.911    -0.352     63.17    77.648    38.609   271.994    0.49      9.07 0.1163E+01
   1.35    18.19   4759.804  11361.108   183.000    -0.355     63.16    77.558    39.196   274.098    0.49      9.14 0.1154E+01
   1.36    18.33   4759.212  11360.277   183.090    -0.358     63.16    77.468    39.788   276.204    0.49      9.21 0.1145E+01
   1.37    18.47   4758.615  11359.440   183.180    -0.361     63.15    77.378    40.385   278.312    0.50      9.28 0.1137E+01
   1.38    18.61   4758.013  11358.595   183.272    -0.364     63.15    77.288    40.987   280.421    0.50      9.35 0.1129E+01
   1.39    18.75   4757.407  11357.745   183.365    -0.367     63.15    77.197    41.593   282.532    0.51      9.42 0.1120E+01
   1.40    18.88   4756.796  11356.887   183.458    -0.369     63.14    77.107    42.204   284.645    0.51      9.50 0.1112E+01
   1.41    19.02   4756.180  11356.023   183.552    -0.372     63.14    77.017    42.820   286.760    0.51      9.57 0.1104E+01
   1.42    19.16   4755.559  11355.153   183.647    -0.375     63.13    76.927    43.441   288.876    0.52      9.64 0.1096E+01
   1.43    19.30   4754.934  11354.276   183.743    -0.378     63.13    76.836    44.066   290.995    0.52      9.71 0.1088E+01
   1.44    19.44   4754.304  11353.392   183.840    -0.381     63.12    76.746    44.696   293.115    0.52      9.78 0.1081E+01
   1.45    19.58   4753.670  11352.501   183.937    -0.384     63.12    76.655    45.330   295.237    0.53      9.85 0.1073E+01
